
Rk,Player,Pos,Indct,From,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
1,Champ Bailey\BailCh00,DB,2019,1999,2013,3,12,14,111,215,,,,,,,,,2,11,1,7,4,89,0,42
2,Tony Gonzalez\GonzTo00,TE,2019,1997,2013,6,14,16,97,270,1,1,40,0,40,0,0,0,2,14,0,9,1325,15127,111,73
3,Ty Law\LawxTy00,DB,2019,1995,2009,2,5,11,85,203,,,,,,,,,,,,,,,,
4,Kevin Mawae\MawaKe00,C,2019,1994,2009,3,8,15,107,241,,,,,,,,,,,,,0,0,0,0
5,Ed Reed\ReedEd00,DB,2019,2002,2013,5,9,10,106,174,,,,,,,,,,,,,0,0,0,0
6,Johnny Robinson\RobiJo00,DB,2019,1960,1971,6,7,12,91,164,0,1,0,0,0,1,0,0,150,658,6,49,77,1228,9,74
7,Robert Brazile\BrazRo00,LB,2018,1975,1984,2,7,10,74,147,,,,,,,,,,,,,,,,
8,Brian Dawkins\DawkBr00,DB,2018,1996,2011,4,9,14,100,224,,,,,,,,,,,,,1,57,1,57
9,Jerry Kramer\KramJe00,G,2018,1958,1968,5,3,9,76,130,,,,,,,,,,,,,,,,
10,Ray Lewis\LewiRa00,LB,2018,1996,2012,7,13,14,158,228,,,,,,,,,,,,,,,,
11,Randy Moss\MossRa00,WR,2018,1998,2012,4,6,12,123,218,4,8,106,2,37,1,0,0,25,159,0,25,982,15292,156,82
12,Terrell Owens\OwenTe00,WR,2018,1996,2010,5,6,13,119,219,,,,,,,,,39,251,3,38,1078,15934,153,98
13,Brian Urlacher\UrlaBr00,LB,2018,2000,2012,4,8,12,118,182,0,1,0,0,0,0,0,0,,,,,1,27,1,27
14,Morten Andersen\andermor01,K,2017,1982,2007,3,7,24,51,382,,,,,,,,,,,,,,,,
15,Terrell Davis\DaviTe00,RB,2017,1995,2001,3,3,4,72,78,,,,,,,,,1655,7607,60,71,169,1280,5,35
16,Kenny Easley\EaslKe00,DB,2017,1981,1987,3,5,7,60,89,,,,,,,,,,,,,,,,
17,Jason Taylor\TaylJa03,DE,2017,1997,2011,3,6,12,117,233,,,,,,,,,,,,,0,0,0,0
18,LaDainian Tomlinson\TomlLa00,RB,2017,2001,2011,3,5,10,128,170,8,12,143,7,38,0,2,3,3174,13684,145,85,624,4772,17,74
19,Kurt Warner\WarnKu00,QB,2017,1998,2009,2,4,8,96,124,2666,4070,32344,208,85,128,260,1669,173,286,3,23,1,0,0,0
20,Brett Favre\FavrBr00,QB,2016,1991,2010,3,11,19,156,302,6300,10169,71838,508,99,336,525,3487,602,1844,14,40,2,-7,0,2
21,Kevin Greene\GreeKe00,LB,2016,1985,1999,2,5,11,94,228,,,,,,,,,,,,,,,,
22,Marvin Harrison\HarrMa00,WR,2016,1996,2008,3,8,12,124,190,,,,,,,,,10,28,0,15,1102,14580,128,80
23,Orlando Pace\PaceOr00,T,2016,1997,2009,3,7,12,104,169,,,,,,,,,,,,,,,,
24,Ken Stabler\StabKe00,QB,2016,1970,1984,1,4,11,94,184,2270,3793,27938,194,88,222,281,2514,118,93,4,18,,,,
25,Dick Stanfel\StanDi00,G,2016,1952,1958,5,5,7,0,73,,,,,,,,,,,,,,,,
26,Jerome Bettis\BettJe00,RB,2015,1993,2005,2,6,11,80,192,3,6,63,3,32,1,0,0,3479,13662,91,71,200,1449,3,34
27,Tim Brown\BrowTi00,WR,2015,1988,2004,0,9,13,104,255,,,,,,,,,50,190,1,19,1094,14934,100,80
28,Charles Haley\HaleCh00,DE,2015,1986,1999,2,5,8,84,169,,,,,,,,,,,,,,,,
29,Junior Seau\SeauJu00,LB,2015,1990,2009,6,12,15,127,268,,,,,,,,,,,,,2,8,0,6
30,Will Shields\ShieWi00,G,2015,1993,2006,2,12,13,113,224,,,,,,,,,,,,,1,4,0,4
31,Mick Tingelhoff\TingMi00,C,2015,1962,1978,5,6,17,102,240,,,,,,,,,,,,,,,,
32,Derrick Brooks\BrooDe00,LB,2014,1995,2008,5,11,13,141,224,,,,,,,,,,,,,,,,
33,Ray Guy\GuyxRa20,P,2014,1973,1986,3,7,14,32,207,2,3,54,0,32,1,1,12,11,43,0,24,,,,
34,Claude Humphrey\HumpCl00,DE,2014,1968,1981,2,6,10,72,171,,,,,,,,,,,,,,,,
35,Walter Jones\JoneWa00,T,2014,1997,2008,4,9,11,97,180,,,,,,,,,,,,,,,,
36,Andre Reed\ReedAn00,WR,2014,1985,2000,0,7,14,98,234,1,1,32,0,32,0,1,20,75,500,1,46,951,13198,87,83
37,Michael Strahan\StraMi02,DE,2014,1993,2007,4,7,14,121,216,,,,,,,,,,,,,,,,
38,Aeneas Williams\WillAe00,DB,2014,1991,2004,3,8,13,103,211,,,,,,,,,,,,,,,,
39,Larry Allen\AlleLa00,G,2013,1994,2007,6,11,13,98,203,,,,,,,,,,,,,0,0,0,0
40,Cris Carter\CartCr00,WR,2013,1987,2002,2,8,13,98,234,0,1,0,0,0,0,0,0,13,41,0,11,1101,13899,130,80
41,Curley Culp\CulpCu00,DT,2013,1968,1981,1,6,11,76,179,,,,,,,,,,,,,,,,
42,Jonathan Ogden\OgdeJo00,T,2013,1996,2007,4,11,11,93,177,,,,,,,,,,,,,2,2,2,1
43,Dave Robinson\RobiDa00,LB,2013,1963,1974,1,3,10,81,155,,,,,,,,,,,,,,,,
44,Warren Sapp\SappWa00,DT,2013,1995,2007,4,7,12,117,198,,,,,,,,,,,,,4,39,2,18
45,Jack Butler\ButlJa00,DB,2012,1951,1959,3,4,8,0,104,,,,,,,,,,,,,7,102,4,33
46,Dermontti Dawson\DawsDe00,C,2012,1988,2000,6,7,10,97,184,,,,,,,,,,,,,,,,
47,Chris Doleman\DoleCh00,DE,2012,1985,1999,2,8,13,114,232,,,,,,,,,,,,,,,,
48,Cortez Kennedy\KennCo00,DT,2012,1990,2000,3,8,8,99,167,,,,,,,,,,,,,,,,
49,Curtis Martin\MartCu00,RB,2012,1995,2005,1,5,11,100,168,2,2,36,2,18,0,1,4,3518,14101,90,70,484,3329,10,41
50,Willie Roaf\RoafWi00,T,2012,1993,2005,4,11,12,107,189,,,,,,,,,,,,,,,,
51,Richard Dent\DentRi00,DE,2011,1983,1997,1,4,10,96,203,,,,,,,,,,,,,,,,
52,Marshall Faulk\FaulMa00,RB,2011,1994,2005,3,7,11,133,176,0,2,0,0,0,0,0,0,2836,12279,100,71,767,6875,36,85
53,Chris Hanburger\HanbCh00,LB,2011,1965,1978,4,9,12,96,187,,,,,,,,,,,,,1,1,0,1
54,Les Richter\RichLe00,LB,2011,1954,1962,1,8,7,18,112,,,,,,,,,0,8,0,8,,,,
55,Deion Sanders\SandDe00,DB,2011,1989,2005,6,8,12,114,188,0,2,0,0,0,0,0,0,9,-14,0,8,60,784,3,70
56,Shannon Sharpe\SharSh00,TE,2011,1990,2003,4,8,12,80,204,,,,,,,,,3,9,0,15,815,10060,62,82
57,Russ Grimm\GrimRu00,G,2010,1981,1991,3,4,9,76,140,,,,,,,,,,,,,,,,
58,Rickey Jackson\JackRi01,LB,2010,1981,1995,0,6,15,113,227,,,,,,,,,,,,,,,,
59,Dick LeBeau\LeBeDi00,DB,2010,1959,1972,0,3,12,79,185,,,,,,,,,,,,,,,,
