days,id,lastUpdatedAt,predictedEnd,recovery,during.bounds,during.lower,during.upper,sleep.id,sleep.naps,sleep.needBreakdown,sleep.qualityDuration,sleep.score,sleep.sleeps,sleep.state,strain.averageHeartRate,strain.kilojoules,strain.maxHeartRate,strain.rawScore,strain.score,strain.state,strain.workouts,recovery.blackoutUntil,recovery.calibrating,recovery.heartRateVariabilityRmssd,recovery.id,recovery.responded,recovery.restingHeartRate,recovery.score,recovery.state,recovery.surveyResponseId,recovery.timestamp,sleep.needBreakdown.baseline,sleep.needBreakdown.debt,sleep.needBreakdown.naps,sleep.needBreakdown.strain,sleep.needBreakdown.total
['2021-02-22'],85291051,2021-02-23T14:04:18.825441+00:00,2021-02-23T06:00:00+00:00,,[),2021-02-22T06:00:00+00:00,2021-02-23T05:03:19.495+00:00,,[],,,,[],,83,4620.02,200,0.0184471873103723,17.6391374919216,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 176, 'cumulativeWorkoutStrain': 16.7935, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-22T20:48:45.92+00:00', 'upper': '2021-02-22T21:31:00+00:00'}, 'gpsEnabled': False, 'id': 188901254, 'kilojoules': 2073.73, 'maxHeartRate': 200, 'rawScore': 0.0155021988428164, 'responded': True, 'score': 16.7935028351258, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 58370206, 'timezoneOffset': '-0600', 'zones': [4846, 10574, 24994, 31722, 890168, 1572691]}]",,,,,,,,,,,,,,,
['2021-02-23'],85482276,2021-02-24T13:04:39.674809+00:00,2021-02-24T05:03:19.495+00:00,,[),2021-02-23T05:03:19.495+00:00,2021-02-24T04:57:10.278+00:00,189295399.0,[],,27640304.0,84.0,"[{'cyclesCount': 6, 'disturbanceCount': 14, 'during': {'bounds': '[)', 'lower': '2021-02-23T05:03:19.495+00:00', 'upper': '2021-02-23T13:46:07.719+00:00'}, 'id': 189295399, 'inBedDuration': 31150032, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 17607766, 'noDataDuration': 0, 'qualityDuration': 27640304, 'remSleepDuration': 4177393, 'respiratoryRate': 17.6953, 'responded': False, 'score': 84, 'sleepConsistency': None, 'sleepEfficiency': 0.887328, 'slowWaveSleepDuration': 5855145, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 3545039}]",complete,76,8692.32,173,0.01062980455824,14.8979460191607,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 98, 'cumulativeWorkoutStrain': 14.1629, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-24T00:00:00+00:00', 'upper': '2021-02-24T01:30:00+00:00'}, 'gpsEnabled': False, 'id': 189582404, 'kilojoules': 772.656, 'maxHeartRate': 141, 'rawScore': 0.00117498684706652, 'responded': False, 'score': 6.12079655381146, 'source': 'user', 'sportId': 87, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [2723364, 1479490, 1111265, 86518, 0, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 157, 'cumulativeWorkoutStrain': 13.5603, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-23T20:50:00+00:00', 'upper': '2021-02-23T21:33:00+00:00'}, 'gpsEnabled': False, 'id': 189505988, 'kilojoules': 1672.63, 'maxHeartRate': 173, 'rawScore': 0.00790899380001823, 'responded': True, 'score': 13.5602828652676, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 58413277, 'timezoneOffset': '-0600', 'zones': [0, 0, 0, 711406, 1867808, 0]}]",,True,0.0961325,89666401.0,False,54.0,77.0,complete,,2021-02-23T13:46:07.719+00:00,29627641.0,0.0,0.0,3338620.0,32966261.0
['2021-02-24'],85717828,2021-02-25T12:53:21.573493+00:00,2021-02-25T04:57:10.278+00:00,,[),2021-02-24T04:57:10.278+00:00,2021-02-25T02:26:28.193+00:00,189855610.0,[],,26006832.0,82.0,"[{'cyclesCount': 6, 'disturbanceCount': 15, 'during': {'bounds': '[)', 'lower': '2021-02-24T04:57:10.278+00:00', 'upper': '2021-02-24T13:01:31.33+00:00'}, 'id': 189855610, 'inBedDuration': 28098856, 'isNap': False, 'latencyDuration': 107665, 'lightSleepDuration': 17749214, 'noDataDuration': 0, 'qualityDuration': 26006832, 'remSleepDuration': 5284323, 'respiratoryRate': 17.9297, 'responded': False, 'score': 82, 'sleepConsistency': None, 'sleepEfficiency': 0.929108, 'slowWaveSleepDuration': 2973295, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 2120457}]",complete,65,6085.0,138,0.00112954334534907,6.04004772714727,,[],,True,0.0822631,89914505.0,False,55.0,66.0,complete,,2021-02-24T13:01:31.33+00:00,27469073.0,2197525.0,0.0,2167761.0,31834361.0
['2021-02-25'],85860344,2021-02-26T13:15:16.504925+00:00,2021-02-26T04:05:00+00:00,,[),2021-02-25T02:26:28.193+00:00,2021-02-26T05:27:12.578+00:00,190281267.0,[],,31387560.0,100.0,"[{'cyclesCount': 5, 'disturbanceCount': 19, 'during': {'bounds': '[)', 'lower': '2021-02-25T02:26:28.193+00:00', 'upper': '2021-02-25T12:00:00+00:00'}, 'id': 190281267, 'inBedDuration': 34409805, 'isNap': False, 'latencyDuration': 90362, 'lightSleepDuration': 16549952, 'noDataDuration': 0, 'qualityDuration': 31387560, 'remSleepDuration': 8499265, 'respiratoryRate': 17.4023, 'responded': False, 'score': 100, 'sleepConsistency': None, 'sleepEfficiency': 0.914571, 'slowWaveSleepDuration': 6338343, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 3062774}]",complete,76,12470.2,180,0.0279511411062971,19.5884571908791,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 128, 'cumulativeWorkoutStrain': 18.7452, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-26T02:40:00+00:00', 'upper': '2021-02-26T04:05:00+00:00'}, 'gpsEnabled': False, 'id': 190822023, 'kilojoules': 1918.01, 'maxHeartRate': 174, 'rawScore': 0.00598109341303408, 'responded': True, 'score': 12.3980499313523, 'source': 'user', 'sportId': 36, 'state': 'complete', 'surveyResponseId': 58512109, 'timezoneOffset': '-0600', 'zones': [216296, 1040123, 1659252, 1734187, 449891, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 168, 'cumulativeWorkoutStrain': 17.4137, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-25T18:26:00+00:00', 'upper': '2021-02-25T19:27:00+00:00'}, 'gpsEnabled': False, 'id': 190686659, 'kilojoules': 2727, 'maxHeartRate': 180, 'rawScore': 0.0172722327606755, 'responded': True, 'score': 17.3285407908584, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 58492426, 'timezoneOffset': '-0600', 'zones': [52911, 9613, 19226, 57678, 3381864, 138429]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 68, 'cumulativeWorkoutStrain': 4.5255, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-02-25T12:00:00+00:00', 'upper': '2021-02-25T14:15:00+00:00'}, 'gpsEnabled': False, 'id': 190802073, 'kilojoules': 684.687, 'maxHeartRate': 128, 'rawScore': 0.000310289476969403, 'responded': False, 'score': 4.5254651208155, 'source': 'user', 'sportId': 87, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [6938719, 948804, 212448, 0, 0, 0]}]",,True,0.1127,90069726.0,False,54.0,92.0,complete,,2021-02-25T12:00:00+00:00,27468811.0,2472193.0,0.0,255998.0,30197003.0
['2021-02-26'],86241971,2021-02-27T14:56:53.138614+00:00,2021-02-27T02:26:28.193+00:00,,[),2021-02-26T05:27:12.578+00:00,2021-02-27T07:17:46.456+00:00,191071386.0,[],,25682493.0,81.0,"[{'cyclesCount': 4, 'disturbanceCount': 11, 'during': {'bounds': '[)', 'lower': '2021-02-26T05:27:12.578+00:00', 'upper': '2021-02-26T13:12:10.191+00:00'}, 'id': 191071386, 'inBedDuration': 27526886, 'isNap': False, 'latencyDuration': 75943, 'lightSleepDuration': 11026868, 'noDataDuration': 0, 'qualityDuration': 25682493, 'remSleepDuration': 9943012, 'respiratoryRate': 17.6953, 'responded': False, 'score': 81, 'sleepConsistency': 73, 'sleepEfficiency': 0.935578, 'slowWaveSleepDuration': 4712613, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1877897}]",complete,75,7760.04,168,0.00320734713156321,9.35167511068845,,[],,False,0.0835728,90465677.0,False,61.0,67.0,complete,,2021-02-26T13:12:10.191+00:00,27468549.0,0.0,0.0,4142624.0,31611173.0
['2021-02-27'],86528935,2021-02-28T15:11:47.646327+00:00,2021-02-28T05:27:12.578+00:00,,[),2021-02-27T07:17:46.456+00:00,2021-02-28T08:43:41.859+00:00,191755902.0,[],,25939522.0,85.0,"[{'cyclesCount': 5, 'disturbanceCount': 9, 'during': {'bounds': '[)', 'lower': '2021-02-27T07:17:46.456+00:00', 'upper': '2021-02-27T14:49:50.555+00:00'}, 'id': 191755902, 'inBedDuration': 27123138, 'isNap': False, 'latencyDuration': 161499, 'lightSleepDuration': 9721647, 'noDataDuration': 0, 'qualityDuration': 25939522, 'remSleepDuration': 9940179, 'respiratoryRate': 18.4277, 'responded': False, 'score': 85, 'sleepConsistency': 50, 'sleepEfficiency': 0.96209, 'slowWaveSleepDuration': 6277696, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1213753}]",complete,86,7431.03,156,0.00202240314867069,7.56071757615312,,[],,False,0.0279415,90769612.0,False,74.0,18.0,complete,,2021-02-27T14:49:50.555+00:00,27468286.0,2609487.0,0.0,618635.0,30696409.0
['2021-02-28'],86783062,2021-03-01T13:13:14.575936+00:00,2021-03-01T07:17:46.456+00:00,,[),2021-02-28T08:43:41.859+00:00,2021-03-01T04:12:01.944+00:00,192512617.0,[],,21788044.0,73.0,"[{'cyclesCount': 3, 'disturbanceCount': 4, 'during': {'bounds': '[)', 'lower': '2021-02-28T08:43:41.859+00:00', 'upper': '2021-02-28T15:03:55.479+00:00'}, 'id': 192512617, 'inBedDuration': 22697302, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 13468793, 'noDataDuration': 0, 'qualityDuration': 21788044, 'remSleepDuration': 3453609, 'respiratoryRate': 18.3398, 'responded': False, 'score': 73, 'sleepConsistency': 52, 'sleepEfficiency': 0.95994, 'slowWaveSleepDuration': 4865642, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 932701}]",complete,72,5309.5,145,0.000257119801088371,4.42342726926986,,[],,False,0.0278091,91047647.0,False,70.0,17.0,complete,,2021-02-28T15:03:55.479+00:00,27468172.0,2060112.0,0.0,386504.0,29914789.0
['2021-03-01'],86961510,2021-03-02T14:08:43.286596+00:00,2021-03-02T04:12:01.944+00:00,,[),2021-03-01T04:12:01.944+00:00,2021-03-02T06:37:45.873+00:00,193112997.0,"[{'cyclesCount': 1, 'disturbanceCount': 1, 'during': {'bounds': '[)', 'lower': '2021-03-01T20:00:00+00:00', 'upper': '2021-03-01T21:15:00+00:00'}, 'id': 193653986, 'inBedDuration': 4498894, 'isNap': True, 'latencyDuration': 89401, 'lightSleepDuration': 3333283, 'noDataDuration': 0, 'qualityDuration': 4291939, 'remSleepDuration': 538026, 'respiratoryRate': 18.6328, 'responded': False, 'score': 14, 'sleepConsistency': 41, 'sleepEfficiency': 0.973341, 'slowWaveSleepDuration': 420630, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 210797}]",,27293817.0,87.0,"[{'cyclesCount': 6, 'disturbanceCount': 22, 'during': {'bounds': '[)', 'lower': '2021-03-01T04:12:01.944+00:00', 'upper': '2021-03-01T12:49:29.112+00:00'}, 'id': 193112997, 'inBedDuration': 31046206, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 13869234, 'noDataDuration': 0, 'qualityDuration': 27293817, 'remSleepDuration': 8648440, 'respiratoryRate': 18.3691, 'responded': False, 'score': 87, 'sleepConsistency': 53, 'sleepEfficiency': 0.879135, 'slowWaveSleepDuration': 4776143, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 3784721}]",complete,73,8314.27,160,0.00410614068909416,10.5232860218369,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 110, 'cumulativeWorkoutStrain': 7.894, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-02T03:15:00+00:00', 'upper': '2021-03-02T04:40:00+00:00'}, 'gpsEnabled': False, 'id': 193779938, 'kilojoules': 1050.33, 'maxHeartRate': 160, 'rawScore': 0.0022301496265411, 'responded': True, 'score': 7.89395791001874, 'source': 'user', 'sportId': 36, 'state': 'complete', 'surveyResponseId': 58668903, 'timezoneOffset': '-0600', 'zones': [1274684, 1722693, 1242009, 851712, 8652, 0]}]",,False,0.0848141,91248642.0,False,63.0,58.0,complete,,2021-03-01T12:49:29.112+00:00,27467910.0,3708167.0,0.0,163837.0,31339915.0
['2021-03-02'],87303399,2021-03-03T13:22:41.549205+00:00,2021-03-03T04:12:01.944+00:00,,[),2021-03-02T06:37:45.873+00:00,2021-03-03T04:29:41.143+00:00,194059136.0,[],,23442660.0,89.0,"[{'cyclesCount': 4, 'disturbanceCount': 16, 'during': {'bounds': '[)', 'lower': '2021-03-02T06:37:45.873+00:00', 'upper': '2021-03-02T13:57:19.308+00:00'}, 'id': 194059136, 'inBedDuration': 26233931, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 10767945, 'noDataDuration': 0, 'qualityDuration': 23442660, 'remSleepDuration': 7449075, 'respiratoryRate': 17.6367, 'responded': False, 'score': 89, 'sleepConsistency': 54, 'sleepEfficiency': 0.893601, 'slowWaveSleepDuration': 5225640, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 2820255}]",complete,71,6067.37,134,0.000666731461380273,5.19790666260678,,[],,False,0.0667168,91605014.0,False,66.0,50.0,complete,,2021-03-02T13:57:19.308+00:00,27467647.0,2295510.0,4291939.0,831190.0,26302409.0
['2021-03-03'],87557311,2021-03-04T11:39:53.286479+00:00,2021-03-04T04:29:41.143+00:00,,[),2021-03-03T04:29:41.143+00:00,2021-03-04T04:52:57.003+00:00,194673136.0,"[{'cyclesCount': 1, 'disturbanceCount': 3, 'during': {'bounds': '[)', 'lower': '2021-03-03T19:58:01.004+00:00', 'upper': '2021-03-03T21:39:52.962+00:00'}, 'id': 195019428, 'inBedDuration': 6110996, 'isNap': True, 'latencyDuration': 0, 'lightSleepDuration': 2431384, 'noDataDuration': 0, 'qualityDuration': 5726152, 'remSleepDuration': 2154153, 'respiratoryRate': 17.6367, 'responded': False, 'score': 20, 'sleepConsistency': 55, 'sleepEfficiency': 0.937024, 'slowWaveSleepDuration': 1140615, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 390791}]",,27982050.0,94.0,"[{'cyclesCount': 5, 'disturbanceCount': 19, 'during': {'bounds': '[)', 'lower': '2021-03-03T04:29:41.143+00:00', 'upper': '2021-03-03T13:18:49.795+00:00'}, 'id': 194673136, 'inBedDuration': 31188575, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 13415932, 'noDataDuration': 0, 'qualityDuration': 27982050, 'remSleepDuration': 10121101, 'respiratoryRate': 16.5234, 'responded': False, 'score': 94, 'sleepConsistency': 61, 'sleepEfficiency': 0.897189, 'slowWaveSleepDuration': 4445017, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 3243773}]",complete,71,6930.77,148,0.00134001494577006,6.41109049637187,,[],,False,0.101284,91862770.0,False,54.0,83.0,complete,,2021-03-03T13:18:49.795+00:00,27467385.0,1942336.0,0.0,203069.0,29612791.0
['2021-03-04'],87809398,2021-03-05T13:24:07.806788+00:00,2021-03-05T04:29:41.143+00:00,,[),2021-03-04T04:52:57.003+00:00,2021-03-05T06:05:23.941+00:00,195295809.0,"[{'cyclesCount': 0, 'disturbanceCount': 0, 'during': {'bounds': '[)', 'lower': '2021-03-04T21:30:00+00:00', 'upper': '2021-03-04T22:30:00+00:00'}, 'id': 195967829, 'inBedDuration': 3597194, 'isNap': True, 'latencyDuration': 1498671, 'lightSleepDuration': 1051094, 'noDataDuration': 0, 'qualityDuration': 1981873, 'remSleepDuration': 0, 'respiratoryRate': 18.8086, 'responded': False, 'score': 6, 'sleepConsistency': 47, 'sleepEfficiency': 0.944413, 'slowWaveSleepDuration': 930779, 'source': 'user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1618966}]",,20000626.0,87.0,"[{'cyclesCount': 4, 'disturbanceCount': 11, 'during': {'bounds': '[)', 'lower': '2021-03-04T04:52:57.003+00:00', 'upper': '2021-03-04T11:19:42.832+00:00'}, 'id': 195295809, 'inBedDuration': 23012607, 'isNap': False, 'latencyDuration': 150924, 'lightSleepDuration': 7508779, 'noDataDuration': 0, 'qualityDuration': 20000626, 'remSleepDuration': 7745550, 'respiratoryRate': 16.6992, 'responded': False, 'score': 87, 'sleepConsistency': 62, 'sleepEfficiency': 0.874854, 'slowWaveSleepDuration': 4746297, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 3034894}]",complete,87,9655.37,197,0.0135100767023924,16.0945012052916,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 111, 'cumulativeWorkoutStrain': 15.0853, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-05T03:15:00+00:00', 'upper': '2021-03-05T04:45:00+00:00'}, 'gpsEnabled': False, 'id': 195998531, 'kilojoules': 1238.8, 'maxHeartRate': 163, 'rawScore': 0.00294508788130828, 'responded': True, 'score': 8.97862351224562, 'source': 'user', 'sportId': 36, 'state': 'complete', 'surveyResponseId': 58823993, 'timezoneOffset': '-0600', 'zones': [1622716, 1274688, 1055508, 1323716, 123048, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 102, 'cumulativeWorkoutStrain': 13.6623, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-05T00:00:00+00:00', 'upper': '2021-03-05T02:15:00+00:00'}, 'gpsEnabled': False, 'id': 195967676, 'kilojoules': 1057.56, 'maxHeartRate': 151, 'rawScore': 0.00149582135118215, 'responded': False, 'score': 6.68084949992209, 'source': 'user', 'sportId': 87, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [2303320, 3907706, 1682265, 206682, 0, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 168, 'cumulativeWorkoutStrain': 12.8385, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-04T19:00:00+00:00', 'upper': '2021-03-04T19:24:00+00:00'}, 'gpsEnabled': False, 'id': 195810099, 'kilojoules': 1065.94, 'maxHeartRate': 197, 'rawScore': 0.00660687872624384, 'responded': True, 'score': 12.8384794516907, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 58787744, 'timezoneOffset': '-0600', 'zones': [0, 0, 0, 44259, 1216048, 179764]}]",,False,0.0947605,92071709.0,False,63.0,77.0,complete,,2021-03-04T11:19:42.832+00:00,27467123.0,1059446.0,5726152.0,283303.0,23083721.0
['2021-03-05'],88172111,2021-03-06T12:19:30.150125+00:00,2021-03-06T04:52:57.003+00:00,,[),2021-03-05T06:05:23.941+00:00,2021-03-06T05:17:22.849+00:00,196526445.0,[],,23245378.0,76.0,"[{'cyclesCount': 7, 'disturbanceCount': 13, 'during': {'bounds': '[)', 'lower': '2021-03-05T06:05:23.941+00:00', 'upper': '2021-03-05T13:12:02.453+00:00'}, 'id': 196526445, 'inBedDuration': 25595628, 'isNap': False, 'latencyDuration': 94208, 'lightSleepDuration': 7989098, 'noDataDuration': 0, 'qualityDuration': 23245378, 'remSleepDuration': 9250006, 'respiratoryRate': 16.7725, 'responded': False, 'score': 76, 'sleepConsistency': 55, 'sleepEfficiency': 0.911533, 'slowWaveSleepDuration': 6006274, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 2378434}]",complete,79,8404.32,188,0.0128794463488992,15.8514794212544,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 92, 'cumulativeWorkoutStrain': 15.6011, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-05T23:00:00+00:00', 'upper': '2021-03-06T01:45:00+00:00'}, 'gpsEnabled': False, 'id': 196995365, 'kilojoules': 906.542, 'maxHeartRate': 134, 'rawScore': 0.000714495679766016, 'responded': False, 'score': 5.28645889545792, 'source': 'user', 'sportId': 87, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [5670762, 3936537, 293195, 0, 0, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 163, 'cumulativeWorkoutStrain': 15.3009, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-05T20:48:00+00:00', 'upper': '2021-03-05T21:37:00+00:00'}, 'gpsEnabled': False, 'id': 196924555, 'kilojoules': 2037.48, 'maxHeartRate': 188, 'rawScore': 0.0115421244411844, 'responded': True, 'score': 15.300934560894, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 58868626, 'timezoneOffset': '-0600', 'zones': [60601, 9613, 30762, 161499, 2482085, 196105]}]",,False,0.0889731,92422524.0,False,64.0,72.0,complete,,2021-03-05T13:12:02.453+00:00,27466861.0,2295444.0,1981873.0,2666360.0,30446794.0
['2021-03-06'],88430868,2021-03-07T14:37:16.757548+00:00,2021-03-07T05:17:22.849+00:00,,[),2021-03-06T05:17:22.849+00:00,2021-03-07T05:35:14.637+00:00,197170879.0,[],,22569658.0,68.0,"[{'cyclesCount': 5, 'disturbanceCount': 12, 'during': {'bounds': '[)', 'lower': '2021-03-06T05:17:22.849+00:00', 'upper': '2021-03-06T12:13:44.204+00:00'}, 'id': 197170879, 'inBedDuration': 24980394, 'isNap': False, 'latencyDuration': 97092, 'lightSleepDuration': 8232617, 'noDataDuration': 0, 'qualityDuration': 22569658, 'remSleepDuration': 9023805, 'respiratoryRate': 16.8457, 'responded': False, 'score': 68, 'sleepConsistency': 70, 'sleepEfficiency': 0.90702, 'slowWaveSleepDuration': 5313236, 'source': 'auto', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 2440037}]",complete,76,7147.25,163,0.00217858430131491,7.81198135460094,,[],,False,0.106384,92638283.0,False,55.0,86.0,complete,,2021-03-06T12:13:44.204+00:00,27466600.0,3295992.0,0.0,2562389.0,33324981.0
['2021-03-07'],88819762,2021-03-08T13:28:26.806689+00:00,2021-03-08T05:17:22.849+00:00,,[),2021-03-07T05:35:14.637+00:00,2021-03-08T03:14:21.83+00:00,197851413.0,[],,30425909.0,94.0,"[{'cyclesCount': 7, 'disturbanceCount': 11, 'during': {'bounds': '[)', 'lower': '2021-03-07T05:35:14.637+00:00', 'upper': '2021-03-07T14:37:16.719+00:00'}, 'id': 197851413, 'inBedDuration': 32144975, 'isNap': False, 'latencyDuration': 163422, 'lightSleepDuration': 17991848, 'noDataDuration': 0, 'qualityDuration': 30425909, 'remSleepDuration': 7899527, 'respiratoryRate': 16.8457, 'responded': False, 'score': 94, 'sleepConsistency': 64, 'sleepEfficiency': 0.951358, 'slowWaveSleepDuration': 4534534, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 1756615}]",complete,75,7233.97,176,0.00757673914246926,13.3828739971271,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 158, 'cumulativeWorkoutStrain': 12.4959, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-07T21:08:00+00:00', 'upper': '2021-03-07T21:37:00+00:00'}, 'gpsEnabled': False, 'id': 198057354, 'kilojoules': 1124.8, 'maxHeartRate': 176, 'rawScore': 0.0059821622865728, 'responded': True, 'score': 12.3988688928724, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 59014313, 'timezoneOffset': '-0600', 'zones': [53833, 16381, 30762, 291276, 1347744, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 86, 'cumulativeWorkoutStrain': 4.1711, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-07T19:00:00+00:00', 'upper': '2021-03-07T20:30:00+00:00'}, 'gpsEnabled': False, 'id': 198037513, 'kilojoules': 431.298, 'maxHeartRate': 133, 'rawScore': 0.000126631765823249, 'responded': False, 'score': 4.17113555772661, 'source': 'user', 'sportId': 87, 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'zones': [4330703, 929584, 139389, 0, 0, 0]}]",,False,0.099276,92995154.0,False,59.0,83.0,complete,,2021-03-07T14:37:16.719+00:00,27466338.0,4394614.0,0.0,413328.0,32274280.0
['2021-03-08'],89137860,2021-03-09T14:04:43.628302+00:00,2021-03-09T04:56:00+00:00,,[),2021-03-08T03:14:21.83+00:00,2021-03-09T05:48:35.275+00:00,198401721.0,[],,34516674.0,100.0,"[{'cyclesCount': 6, 'disturbanceCount': 18, 'during': {'bounds': '[)', 'lower': '2021-03-08T03:14:21.83+00:00', 'upper': '2021-03-08T13:28:26.772+00:00'}, 'id': 198401721, 'inBedDuration': 36757305, 'isNap': False, 'latencyDuration': 0, 'lightSleepDuration': 14934790, 'noDataDuration': 0, 'qualityDuration': 34516674, 'remSleepDuration': 10150956, 'respiratoryRate': 17.4902, 'responded': False, 'score': 100, 'sleepConsistency': 53, 'sleepEfficiency': 0.939043, 'slowWaveSleepDuration': 9430928, 'source': 'auto+user', 'state': 'complete', 'surveyResponseId': None, 'timezoneOffset': '-0600', 'wakeDuration': 2285077}]",complete,74,10575.1,194,0.0169044752151151,17.2239475206735,complete,"[{'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 124, 'cumulativeWorkoutStrain': 16.4391, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-09T03:30:00+00:00', 'upper': '2021-03-09T04:56:00+00:00'}, 'gpsEnabled': False, 'id': 198748062, 'kilojoules': 1608.22, 'maxHeartRate': 162, 'rawScore': 0.0039392545103498, 'responded': True, 'score': 10.3186081245852, 'source': 'user', 'sportId': 36, 'state': 'complete', 'surveyResponseId': 59118703, 'timezoneOffset': '-0600', 'zones': [229788, 1009372, 2341734, 1528469, 50949, 0]}, {'altitudeChange': None, 'altitudeGain': None, 'averageHeartRate': 167, 'cumulativeWorkoutStrain': 14.8458, 'distance': None, 'during': {'bounds': '[)', 'lower': '2021-03-08T21:12:00+00:00', 'upper': '2021-03-08T21:51:00+00:00'}, 'gpsEnabled': False, 'id': 198624506, 'kilojoules': 1700.32, 'maxHeartRate': 194, 'rawScore': 0.0105158475375895, 'responded': True, 'score': 14.8458106814674, 'source': 'user', 'sportId': 0, 'state': 'complete', 'surveyResponseId': 59084651, 'timezoneOffset': '-0600', 'zones': [16381, 16342, 13458, 141312, 1864928, 287429]}]",,False,0.114314,93277959.0,False,56.0,93.0,complete,,2021-03-08T13:28:26.772+00:00,27466076.0,1059405.0,0.0,1605967.0,30131449.0
